
## g4-c1 | Chương 1: Số tự nhiên & Bảng đơn vị đo khối lượng
g4-c1-l1 | Bài 1: Ôn tập các số đến 100 000 | HINH: Số 68 352 gồm: 6 chục nghìn, 8 nghìn, 3 trăm, 5 chục và 2 đơn vị. Viết thành tổng: 68 352 = 60 000 + 8 000 + 300 + 50 + 2 | RULE: 
g4-c4-l1 | Bài 1: Khái niệm phân số & Phép chia số tự nhiên | HINH: Cấu tạo phân số a/b: - Tử số a: là số tự nhiên viết trên gạch ngang (chỉ số phần lấy đi). - Mẫu số b: là số tự nhiên khác 0 viết dưới gạch ngang (chỉ số phần bằng nhau được chia ra). Thương của phép chia a : b (b khác 0) có thể viết thành phân số a/b. | RULE: 
g4-c4-l2 | Bài 2: Phân số bằng nhau, Rút gọn & Quy đồng mẫu số | HINH:  | RULE: 1/2 cái bánh pizza cũng chính bằng 2/4 chiếc bánh pizza đó!
g4-c4-l3 | Bài 3: So sánh phân số | HINH: - Cùng mẫu: 5/7 > 3/7 (vì 5 > 3) - Khác mẫu: So sánh 2/3 và 3/4, nên Quy đồng: 2/3 = 8/12; 3/4 = 9/12. Vì 8/12 < 9/12 nên 2/3 < 3/4. | RULE: 
g4-c4-l4 | Bài 4: Phép cộng và Phép trừ phân số | HINH: Cùng mẫu: 2/5 + 1/5 = (2+1)/5 = 3/5 Khác mẫu: 1/2 + 1/3 = 3/6 + 2/6 = 5/6 Phép trừ: 5/7 - 2/7 = (5-2)/7 = 3/7 | RULE: 
g4-c4-l5 | Bài 5: Phép nhân phân số & Tìm phân số của một số | HINH: Công thức nhân: (a/b) × (c/d) = (a × c) / (b × d) Ví dụ: 2/3 × 4/5 = (2×4) / (3×5) = 8/15 Tìm 3/4 của 20: 20 × 3/4 = (20×3)/4 = 60/4 = 15. | RULE: 
g4-c4-l6 | Bài 6: Phép chia phân số | HINH: Công thức chia: (a/b) : (c/d) = (a/b) × (d/c) = (a × d) / (b × c) Ví dụ: 1/2 : 1/4 = 1/2 × 4/1 = 4/2 = 2 | RULE: 
g4-c4-l7 | Bài 7: Hình thoi & Diện tích hình thoi | HINH: Công thức diện tích hình thoi: S = (m × n) : 2 Trong đó: m và n là độ dài của hai đường chéo (cùng đơn vị đo). | RULE: 
g4-c4-l8 | Bài 8: Luyện tập rút gọn và quy đồng mẫu số | HINH:  | RULE: Rút gọn trước khi tính để số nhỏ, dễ tính hơn.
g4-c4-l9 | Bài 9: Luyện tập bốn phép tính với phân số | HINH:  | RULE: Nhớ rút gọn kết quả nếu có thể.
g4-c4-l10 | Bài 10: Luyện tập chung chương 4 | HINH:  | RULE: Kiểm tra lại kết quả và rút gọn phân số ở cuối bài.

## g4-c5 | Chương 5: Tỉ số, Toán Tổng - Tỉ, Hiệu - Tỉ & Bản đồ
g4-c5-l1 | Bài 1: Giới thiệu tỉ số | HINH: Định nghĩa: Tỉ số của a và b (b khác 0) là a : b hay a/b. Ví dụ: Lớp có 15 bạn nam và 18 bạn nữ. Tỉ số số nam và số nữ là 15/18 = 5/6. | RULE: 
g4-c5-l2 | Bài 2: Tìm hai số khi biết Tổng và Tỉ số của hai số đó | HINH: Ví dụ: Tổng hai số là 35, tỉ số là 2/3. - Tổng số phần: 2 + 3 = 5 phần - Giá trị 1 phần: 35 : 5 = 7 - Số bé: 7 × 2 = 14 - Số lớn: 7 × 3 = 21 (hoặc 35 - 14 = 21) | RULE: 
g4-c5-l3 | Bài 3: Tìm hai số khi biết Hiệu và Tỉ số của hai số đó | HINH: Ví dụ: Hiệu hai số là 24, tỉ số là 1/4. - Hiệu số phần: 4 - 1 = 3 phần - Giá trị 1 phần: 24 : 3 = 8 - Số bé: 8 × 1 = 8 - Số lớn: 8 + 24 = 32 (hoặc 8 × 4 = 32) | RULE: 
g4-c5-l4 | Bài 4: Tỉ lệ bản đồ và Ứng dụng | HINH: - Độ dài thật = Độ dài trên bản đồ × Mẫu số tỉ lệ - Độ dài trên bản đồ = Độ dài thật : Mẫu số tỉ lệ (cùng đơn vị đo) | RULE: 
g4-c5-l5 | Bài 5: Luyện tập về tỉ số | HINH:  | RULE: Tỉ số của a và b là a : b — luôn viết đúng thứ tự theo câu hỏi.
g4-c5-l6 | Bài 6: Luyện tập toán Tổng - Tỉ | HINH:  | RULE: Đáp số phải trả lời đúng cả hai số.
g4-c5-l7 | Bài 7: Luyện tập toán Hiệu - Tỉ | HINH:  | RULE: Hiệu - Tỉ thì chia cho HIỆU số phần; Tổng - Tỉ thì chia cho TỔNG số phần.
g4-c5-l8 | Bài 8: Tỉ lệ bản đồ trong thực tế | HINH:  | RULE: Tỉ lệ 1 : 1 000 000 nghĩa là 1 cm trên bản đồ ứng với 1 000 000 cm = 10 km ngoài thực tế.
g4-c5-l9 | Bài 9: Phân biệt toán Tổng - Tỉ và Hiệu - Tỉ | HINH:  | RULE: Xác định đúng dạng toán trước khi giải.
g4-c5-l10 | Bài 10: Luyện tập chung chương 5 | HINH:  | RULE: Đọc kỹ đề để chọn đúng dạng toán.

## g4-c6 | Chương 6: Ôn tập cuối năm
g4-c6-l1 | Bài 1: Ôn tập về số tự nhiên & Phép tính số tự nhiên | HINH:  | RULE: Thử lại kết quả bằng phép tính ngược trước khi kết luận.
g4-c6-l2 | Bài 2: Ôn tập về đại lượng & Bảng khối lượng, thời gian | HINH:  | RULE: Đổi về cùng một đơn vị đo rồi mới tính.
g4-c6-l3 | Bài 3: Ôn tập về phân số & Các phép tính phân số | HINH:  | RULE: Khác mẫu số thì phải quy đồng mẫu số trước khi cộng hoặc trừ.
g4-c6-l4 | Bài 4: Ôn tập về hình học | HINH: - Hình chữ nhật: S = a × b - Hình vuông: S = a × a - Hình bình hành: S = a × h - Hình thoi: S = (m × n) : 2 | RULE: 
g4-c6-l5 | Bài 5: Ôn tập giải toán có lời văn | HINH:  | RULE: Tóm tắt đề bằng sơ đồ đoạn thẳng trước khi giải.
g4-c6-l7 | Bài 6: Ôn tập dấu hiệu chia hết và tìm thành phần chưa biết | HINH:  | RULE: Tìm số hạng thì lấy tổng trừ số hạng đã biết; tìm số bị trừ thì lấy hiệu cộng số trừ.
g4-c6-l8 | Bài 7: Ôn tập toán Tổng - Tỉ và Hiệu - Tỉ | HINH:  | RULE: Luôn kiểm tra lại tổng (hoặc hiệu) của hai số vừa tìm được.
g4-c6-l9 | Bài 8: Luyện đề cuối năm Lớp 4 - Đề số 1 | HINH:  | RULE: Làm câu dễ trước, kiểm tra lại trước khi hết giờ.
g4-c6-l10 | Bài 9: Luyện đề cuối năm Lớp 4 - Đề số 2 | HINH:  | RULE: Viết ra nháp: tổng (hiệu) số phần ⇒ giá trị một phần ⇒ từng số.
g4-c6-l6 | Bài 10: Thử thách Trạng Nguyên Toán Lớp 4 | HINH:  | RULE: Đọc kỹ đề, nhận dạng bài rồi mới chọn cách giải.
